id,host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
24526216,62004916,3/7/2016,within an hour,f,1,t,t,Entire rental unit,2,2 baths,1,2,$120.00 ,30,210,0,28,58,58,46,0,0,4.78,4.85,4.78,4.93,4.76,4.93,1.43
24561626,90526814,8/17/2016,within an hour,f,35,t,t,Entire condominium (condo),4,1 bath,1,2,$182.00 ,2,1125,23,41,71,120,229,38,2,4.74,4.77,4.82,4.84,4.89,4.69,7.53
24595012,13931840,4/5/2014,within an hour,f,3,t,f,Entire condominium (condo),2,1 bath,1,1,$141.00 ,30,180,0,0,0,0,73,0,0,4.75,4.86,4.79,4.92,5,4.75,1.97
24607968,183809635,4/11/2018,within an hour,t,2,t,t,Entire rental unit,2,1 bath,1,2,$151.00 ,2,1125,17,31,48,100,87,18,1,4.82,4.79,4.68,4.79,4.94,4.72,2.22
24631451,37614659,7/5/2015,within an hour,t,10,t,t,Entire rental unit,4,1 bath,2,2,$225.00 ,2,1124,9,14,29,238,129,33,2,4.98,5,5,4.98,4.89,4.84,3.11
24631581,185373117,4/20/2018,within an hour,t,2,t,t,Entire residential home,6,2 baths,3,3,$189.00 ,3,45,17,41,71,150,84,17,0,4.87,4.93,4.87,4.9,4.79,4.86,2.97
24695450,9288450,10/7/2013,within an hour,f,42,t,t,Entire condominium (condo),6,2.5 baths,2,3,$116.00 ,1,365,6,21,38,75,156,46,1,4.42,4.54,4.59,4.48,4.94,4.55,4.67
24699783,9288450,10/7/2013,within an hour,f,42,t,t,Entire rental unit,6,2.5 baths,2,2,$161.00 ,1,365,12,40,60,97,126,35,0,4.1,4.37,4.29,4.5,4.84,4.39,2.97
24717405,3891761,10/16/2012,within an hour,t,22,t,t,Entire residential home,10,3 baths,5,5,$231.00 ,2,1125,23,50,80,80,133,36,2,4.89,4.92,4.79,4.99,4.38,4.86,3.31
24750282,177814718,3/11/2018,within an hour,t,1,t,t,Entire guest suite,2,1 bath,1,1,$88.00 ,30,90,0,0,0,0,92,2,0,4.91,4.96,4.95,4.98,4.92,4.91,2.61
24779244,122380652,3/24/2017,within an hour,f,696,t,f,Entire residential home,10,4 baths,5,5,$208.00 ,30,1125,0,0,21,291,18,4,0,4.89,4.94,4.94,5,4.72,4.83,0.56
24779531,90526814,8/17/2016,within an hour,f,35,t,t,Entire condominium (condo),4,1 bath,1,2,$142.00 ,2,1125,9,39,69,120,175,38,1,4.67,4.67,4.66,4.8,4.78,4.58,6.9
24800888,116291052,2/13/2017,within an hour,f,1,t,f,Entire residential home,10,2.5 baths,3,7,$267.00 ,30,1125,30,60,90,343,94,20,2,4.94,4.98,4.9,4.96,4.59,4.96,2.9
24802036,33406938,5/15/2015,within an hour,t,1,t,t,Entire guesthouse,2,1 bath,1,1,$79.00 ,1,8,3,13,28,86,250,86,3,4.87,4.92,4.89,4.95,4.91,4.88,9.09
24805656,122380652,3/24/2017,within an hour,f,696,t,f,Entire residential home,4,1 bath,2,4,$123.00 ,30,1125,19,43,73,341,10,4,0,4.1,3.7,3.8,4.9,4.8,4.1,0.24
24822349,122380652,3/24/2017,within an hour,f,696,t,f,Entire residential home,6,3 baths,3,5,$272.00 ,30,1125,18,48,71,305,33,14,0,4.91,4.91,4.72,5,4.81,4.94,0.79
24828203,11362234,1/16/2014,within an hour,t,16,t,t,Entire residential home,10,2 baths,5,7,$336.00 ,1,365,17,47,77,262,69,9,0,4.88,4.93,4.9,4.94,4.9,4.74,1.9
